[⿰⿳业丷臿殳]	鑿
加	伽加咖哿嘉架枷珈痂瘸笳茄袈賀贺跏迦駕驾
务	务雾
劣	劣
劦	勰協脅荔
动	动恸
助	助鋤锄
劫	劫
劳	劳唠崂捞涝痨耢铹
勇	勇湧踴
勒	勒嘞鰳鳓
務	務霧
勞	勞嘮嶗撈澇癆耮鐒
勹	勹
勺	勺妁尥杓灼的約喲葯约哟药芍豹趵酌釣钓
勻	勻
勾	勾构沟购鈎钩
勿	刎勿吻囫物笏芴
匀	匀钧
包	刨包匏咆孢庖抱泡炮狍疱皰胞苞袍跑鉋雹颮飑飽饱鮑鲍齙龅
匆	匆
匈	匈洶胸
匊	掬菊鞠鞫麴麹
匋	啕掏淘萄陶
匕	匕庀牝
化	化訛讹貨货靴
北	北邶
匚	匚
匝	匝咂砸
匠	匠
匡	匡哐框眶筐誆诓
匱	匱櫃
匹	匹
区	伛区呕妪岖怄抠枢欧殴沤瓯眍讴躯驱鸥
医	医
匽	偃堰揠郾鼴
匿	匿慝暱
區	傴區嘔嫗嶇慪摳樞歐毆漚甌瞘謳軀驅鷗
十	什十叶汁計计針针
卂	汛訊讯迅
千	仟千忏扦歼纤芊迁跹釺钎阡
卅	卅
升	升昇
午	仵午忤杵許滸许浒迕
卉	卉
半	伴判半叛拌泮畔絆绊胖袢
华	华哗桦铧骅
卑	俾卑啤埤婢庳捭牌痺睥碑稗脾萆蜱裨郫陴髀鵯鹎鼙
卒	卒啐悴淬猝瘁碎粹萃誶谇醉
卓	倬卓悼掉桌棹淖焯綽绰罩踔
单	冁单婵弹惮掸殚瘅禅箪蝉觯郸阐
南	南喃楠罱腩蝻
卜	仆卜扑朴补訃讣赴釙钋
卞	卞忭汴苄
卟	卟
占	佔占坫帖萜战拈毡沾霑点玷砧站粘苫覘觇貼贴钻阽鮎鲇黏點
卡	佧卡咔胩
卢	卢垆庐栌泸炉胪舻芦轳颅驴鲈鸬
卣	卣
卤	卤
卩	卩
卫	卫
卬	仰迎
卮	卮栀
卯	卯峁昴柳泖聊茆貿贸鉚铆
印	印抑茚
危	危桅詭诡跪
即	即唧鲫
却	却脚
卵	卵
卷	倦卷圈捲綣绻蜷錈锩鬈
卸	卸啣
卻	卻腳
卿	卿
厂	厂
厄	厄呃扼苊軛轭
历	历呖坜枥沥疬苈雳
厉	励厉砺粝蛎
压	压
厌	厌厣恹靥餍魇
厓	崖捱涯睚
原	原塬愿源螈願
厥	劂厥噘撅橛獗蕨蹶鐝镢鱖鳜
厨	厨橱蹰
厭	厭厴壓懨靨饜魘
厲	勵厲礪糲蠣
厶	厶私
厷	肱閎闳雄
去	去祛
厽	垒
县	县悬
参	参惨掺毵渗碜糁骖黪
參	參慘摻毿滲磣糝蔘驂黲
又	又
叉	叉杈汊衩釵钗
及	及吸圾岌极汲笈級级芨趿
友	友
双	双
反	反坂扳板版畈舨販贩返鈑钣阪飯饭
发	发废拨泼
叔	叔寂椒淑督菽
叕	啜掇綴缀裰輟辍
取	取娶諏诹趣陬鯫鲰
受	受授綬绶
叚	假暇瑕瘕葭蝦遐霞
叟	叟嗖嫂搜溲瘦瞍艘螋鎪锼颼飕餿馊
叠	叠
叢	叢
口	口叩扣筘釦
古	估古咕嘏姑菇岵怙故枯沽牯祜罟苦蛄詁诂軲轱酤鈷钴骷鴣鸪
句	佝劬句够夠岣拘煦朐枸狗笱苟鉤駒驹鴝鸲齣
另	另
叧	拐枴柺
只	只咫帜枳炽积织职识軹轵
叫	叫
召	劭召怊招昭照沼笤紹绍苕詔诏貂超軺轺迢邵韶髫齠龆
可	可呵坷岢柯珂疴舸苛蚵訶诃軻轲鈳钶
台	冶台始怠怡抬枱殆治炱眙笞紿绐胎苔詒诒貽贻跆迨邰颱飴饴駘骀鮐鲐
史	史駛驶
右	佑右祐醢
号	号枵
司	伺司嗣祠笥詞词飼饲
各	各咯恪格烙珞硌絡络胳袼貉賂赂輅辂酪鉻铬閣擱阁搁雒駱骆骼
合	合哈恰拾搿洽盒給给耠蛤袷鉿铪閤頜颌鴿鸽龕龛
吉	佶吉咭拮桔洁秸結结詰诘頡擷纈颉撷缬髻鮚鲒黠
吊	吊銱铞
同	侗同垌峒恫桐洞硐筒胴茼酮銅铜
名	名茗酩銘铭
后	后垢詬诟逅骺
吏	使吏
向	向响垧晌餉饷
吕	侣吕铝闾榈
君	君捃窘羣群裙郡
吝	吝
吞	吞
吠	吠
否	否痞
含	含晗焓頷颔
启	启
吳	俁吳
吴	俣吴娱误
吹	吹
吾	吾唔圄寤悟捂晤梧浯焐牾痦衙語语鼯齬龉
呂	侶呂
呆	呆
呈	呈埕程裎逞郢酲鋥锃
呉	娛
告	告梏浩牿皓窖誥诰郜酷鋯锆靠鵠鹄
员	勋员圆埙损殒郧陨
呙	剐呙埚娲涡祸窝脶莴蜗锅
周	倜凋周啁彫惆碉稠綢绸蜩調调週雕鯛鲷鵰
命	命
咅	倍蓓剖培掊涪焙瓿碚菩賠赔踣部醅錇锫陪
和	和
咎	咎晷綹绺
咠	戢蕺揖楫緝缉葺輯辑
咢	愕腭萼諤谔鄂鍔锷顎颚鰐鳄鶚鹗齶
咱	咱
咸	减咸喊減碱箴緘缄鹹
咼	剮咼堝媧渦禍窩腡萵蝸鍋
哀	哀鎄锿
品	品榀闆
哉	哉
員	勛員圓塤損殞鄖隕韻
哥	哥歌
哭	哭
唐	唐塘搪溏瑭糖螗醣
商	商墒熵
啇	嘀嫡摘敵滴謫谪適鏑镝
啚	鄙
啬	啬穑
啻	啻膪
善	善繕缮膳蟮鄯鱔鳝
喜	僖喜嘻嬉熹禧
喪	喪
喬	僑喬嬌嶠撟橋矯蕎轎鞽驕
單	單囅嬋彈憚戰撣殫癉禪簞蟬觶鄲闡鼉鼍
喿	噪操澡藻燥繰缲臊躁
嗇	嗇穡
嘗	嘗嚐
器	器
噩	噩鱷
嚣	嚣
嚴	儼嚴巖釅
囂	囂
囊	囊囔攮饢馕
囗	囗
囚	囚泅
四	四泗駟驷
回	回廻徊洄茴蛔迴
囟	囟
因	咽因姻氤洇烟胭茵銦铟
团	团
囪	囪
困	困悃捆梱睏綑閫阃
囱	囱
囷	菌
固	個固崮涸痼錮锢鯝鲴
国	国帼掴蝈
图	图
圂	溷
國	國幗摑蟈
圖	圖
土	吐土徒杜社肚芏釷钍
圣	圣蛏
在	在茬
圭	佳卦掛褂哇圭奎喹蝰娃恚挂桂洼窪畦眭硅蛙街詿诖跬閨闺鞋鮭鲑
圼	捏涅陧
坐	唑坐座挫痤矬脞銼锉
坒	狴陛
坛	坛
坤	坤
坴	睦逵陸
垂	唾垂捶棰睡綞缍錘锤陲
垔	堙湮煙甄鄄
埋	埋
埶	勢熱囈藝褻
執	執墊摯縶蟄贄鷙
堂	堂樘瞠膛螳鏜镗
堇	僅勤堇廑槿瑾覲觐謹谨鄞饉馑
堯	僥嘵堯嬈撓曉橈澆燒磽繞翹蕘蟯蹺鐃饒驍
報	報
塵	塵
墨	墨
壘	壘
士	士
壬	壬妊衽飪饪
壮	壮装
壯	壯奘莊裝
声	声
壳	壳悫
壶	壶
壹	噎壹懿殪
壺	壺
壽	儔壽幬濤燾疇禱籌躊鑄
夂	夂
夃	股
处	处
夅	洚絳绛
夆	峯峰烽蜂鋒锋
备	备惫
夋	俊唆峻悛梭浚狻皴睃竣羧逡酸駿骏黢
夌	凌棱淩稜綾绫菱陵鯪鲮
复	复復覆愎腹蝮複馥鰒鳆
夏	厦嗄夏廈
夐	瓊
夔	夔
夕	夕汐矽穸
外	外
夗	怨眢苑鴛鸳
夙	夙
多	侈哆多爹嗲眵黟
夜	夜掖液腋
夢	夢
大	大馱驮
天	天祆蚕
太	呔太态汰肽酞鈦钛
夫	伕呋夫扶肤芙蚨趺麩麸
夬	决块快筷抉決炔缺袂觖訣诀
夭	夭妖岙沃鋈袄跃飫饫
央	央怏映殃泱秧鞅鴦鸯
夯	夯
失	佚失帙瓞秩跌軼轶迭铁
头	头
夷	咦夷姨痍胰荑
夸	侉刳垮夸挎瓠絝绔胯誇跨
夹	侠夹峡挟浃狭瘗荚蛱郏铗颊
夺	夺
夾	瘞俠愜篋夾峽挾浹狹硖硤莢蛺郟鋏頰
奁	奁
奂	唤奂换涣焕痪
奄	俺埯奄崦庵掩淹罨腌菴醃閹阉鵪鹌
奇	倚剞奇寄崎掎旖椅欹犄猗漪琦畸綺绮騎骑
奈	奈捺萘
奉	俸唪奉捧棒
奋	奋
奏	凑奏揍楱湊腠輳辏
奐	喚奐換渙煥瘓
契	契楔禊葜鍥锲
奔	奔錛锛
套	套
奚	奚溪谿蹊雞鷄鼷
奠	奠
奢	奢
奥	奥
奧	奧
奩	奩
奪	奪
奮	奮
女	女汝釹钕
奴	努呶奴孥帑弩怒胬駑驽
好	好薅
如	如恕洳絮茹銣铷
妇	妇
妒	妒
妟	宴
妥	妥綏绥荽餒馁
妻	凄妻悽棲淒萋
妾	唼妾接霎
委	倭委痿矮萎諉诿逶
姜	姜
姦	姦
威	威崴葳
娄	偻喽娄屡屦嵝搂楼瘘窭篓缕耧蒌蝼褛镂髅
婁	僂嘍婁屢屨嶁摟樓瘻窶簍縷耬蔞螻褸鏤髏
婦	婦
婴	嘤婴撄樱璎瘿缨鹦
嫩	嫩
嬰	嚶嬰攖櫻瓔癭纓鸚
子	仔子孜籽耔
孑	孑
孓	孓
孔	吼孔
孕	孕
字	字
存	存荐鞯
孙	孙狲荪逊
孚	俘孚孵桴殍浮稃脬莩蜉郛
孛	勃渤孛悖脖荸餑饽鵓鹁
孝	哮孝酵
孟	勐孟猛艋蜢錳锰
季	季悸
孫	孫猻蓀遜
孰	塾孰熟
孱	孱潺驏骣
宀	宀
宁	佇宁貯
它	佗坨它柁沱砣舵蛇跎酡鉈铊陀駝驼鴕鸵
宅	咤姹宅詫诧
守	守狩
安	安按案桉氨胺銨铵鞍
宋	宋
完	垸完浣烷皖脘莞院鯇鲩
宏	宏
宓	宓
宕	宕菪
宗	宗棕淙琮粽綜综腙踪鬃
官	倌官棺涫管綰绾菅逭館馆
定	啶定淀碇綻绽腚錠锭靛
宛	剜婉宛惋琬畹碗箢腕菀蜿豌
宜	宜誼谊
宝	宝
实	实
审	婶审渖
客	喀客額额髂
宣	喧宣揎暄楦渲煊碹萱
室	室
宦	宦
宫	宫
宮	宮
宰	宰梓滓
害	割害瞎豁轄辖
家	傢嫁家稼鎵镓
容	容榕溶熔蓉鎔镕
宽	宽髋
宾	傧嫔宾摈槟殡滨缤膑镔髌鬓
宿	宿縮缩蓿
寅	夤寅演
密	嘧密
寇	寇蔻
寒	寒
察	嚓察擦檫鑔镲
寡	寡
實	實
寧	嚀寧擰檸濘獰聹
審	嬸審瀋
寬	寬髖
寶	寶
寸	寸忖村衬
对	对怼
寺	侍寺峙恃痔詩诗
寻	寻浔荨鲟
导	导
寽	埒捋酹鋝锊
寿	俦寿帱涛焘畴祷筹踌铸
封	封幫葑
尃	傅博搏溥簿薄礴縛缚膊賻赙
射	射榭謝谢麝
将	将蒋锵
將	奬將槳漿獎蔣醬鏘
專	傳團糰專摶磚轉囀
尉	尉慰熨蔚
尊	尊撙樽蹲遵鱒鳟
尋	尋潯蕁鱘
尌	樹澍鬪
對	對懟
小	小
少	吵妙少抄杪炒眇渺緲缈秒耖鈔钞
尔	你您妳尔弥猕玺祢迩
尖	尖
尘	尘
尚	倘尚徜惝淌緔绱耥裳趟躺
尝	偿尝
尞	僚嘹寮撩潦燎獠療瞭繚缭遼鐐镣鷯鹩
尤	优尤忧扰犹莸疣魷鱿
尧	侥哓娆尧挠晓桡浇烧硗绕翘荛蛲跷铙饶
尨	厖
就	僦就蹴鷲鹫
尸	尸屍屎
尹	尹笋
尺	尺迟
尼	伲呢坭妮尼怩旎昵泥鈮铌
尽	尽烬荩赆
尾	娓尾艉
尿	尿脲
局	侷局跼鋦锔
层	层
居	倨剧居据椐琚裾踞鋸锯
屆	屆
屈	倔堀屈崛掘窟
届	届
屋	喔屋幄握渥齷龌
屏	屏摒
屑	屑榍
展	展搌碾輾辗
屚	漏
属	嘱属瞩
屠	屠
履	履
屬	囑屬矚
屮	屮
屯	吨囤屯沌炖盹砘窀純蒓纯莼肫鈍钝頓噸顿飩饨
山	山氙汕灿疝秈籼舢訕讪
岁	刿哕岁秽
岂	凯剀垲岂恺桤皑觊铠
岑	岑涔
岔	岔
岛	岛捣
岡	剛岡崗綱鋼
岩	岩
岳	岳
岸	岸
島	島搗
崇	崇
崔	催崔摧璀
崩	嘣崩繃蹦
嵒	癌
嵩	嵩
嵬	嵬
巂	攜
川	圳巛川巡訓训釧钏順顺馴驯
州	州洲酬
巠	剄勁弳徑氫涇烴痙經羥脛莖輕逕陘頸
巢	剿勦巢繅缫
巤	獵臘蠟躐邋鬣
工	功工扛攻杠汞紅葒红荭缸肛舡虹訌讧豇邛筇項项
左	佐左
巧	巧窍
巨	巨拒柜炬矩榘苣詎讵距鉅钜
巩	巩恐蛩跫銎鞏
巫	巫誣诬
差	嗟嵯差搓槎瘥磋蹉鹺鹾
己	屺己杞紀纪芑記记起
已	已
巳	圯巳异汜祀
巴	吧岜巴把筢杷爬爸琶疤葩笆粑耙芭鈀钯靶
巵	梔
巷	巷港
巽	巽撰選饌馔
巾	巾
巿	旆沛霈肺芾
币	币
市	市柿鈰铈
布	佈布怖鈽钸
帅	帅
师	师狮筛蛳
希	唏希欷浠烯稀郗
帘	帘
帚	帚
帝	啼帝碲締缔蒂諦谛蹄
帥	帥
带	带滞
師	師獅篩螄
席	席蓆
帶	帶滯
常	嫦常
干	刊奸干旰杆汗犴矸秆竿罕肝訐讦赶軒轩邗酐頇顸鼾
平	坪平怦抨枰萍砰秤苹評评鮃鲆
年	年
并	併姘并拼瓶胼迸餅饼駢骈
幸	倖幸悻
幺	吆幺
幻	幻
幼	呦坳幼拗窈蚴黝
幽	幽
幾	嘰幾機璣畿磯蟣譏饑
广	广
庄	庄桩脏赃
庆	庆
床	床
应	应
底	底
店	店惦掂踮
庙	庙
庚	庚賡赓
府	俯府腐腑
度	度渡踱鍍镀
庶	庶摭蔗遮鷓鹧
康	康慷糠
庸	傭墉庸慵鏞镛鱅鳙
廉	廉濂簾臁蠊鐮镰
廚	廚櫥躕
廛	廛纏躔
廣	壙廣擴曠獷礦纊鄺
延	埏延涎筵蜒誕诞
廷	庭廷挺梃艇莛蜓鋌铤霆
建	健建楗毽犍腱踺鍵键
廾	廾
廿	廿
开	妍岍开研笄趼開
弁	弁拚
弃	弃
弄	弄
弋	弋甙
式	式弑弒拭試试軾轼
弓	弓芎
弔	弔
引	吲引矧蚓
弗	佛弗彿怫拂氟沸狒砩紼绋艴
弘	弘泓
弟	剃娣弟悌梯涕睇第綈绨递銻锑鵜鹈
弦	弦
弭	弭
弱	弱搦溺篛
強	強
强	强镪
弼	弼
彐	彐
归	岿归
当	当挡档裆铛
彔	淥綠
录	录渌緑绿
彖	喙彖掾椽篆緣櫞缘橼
彗	彗
彘	彘
彝	彜彝
彞	彞
彡	彡杉肜衫釤钐
彤	彤
彥	彥顏
彦	彦谚顔颜
彪	彪
彬	彬
彭	嘭彭澎甏膨蟛
彳	彳
往	往
待	待
後	後
徙	屣徙蓰
從	從慫樅縱聳蓯蹤
御	御禦
微	微徽薇黴
徵	徵懲癥
心	吣心沁芯
必	必毖泌祕秘鉍铋
忌	忌跽
忍	忍認
忒	忒鋱铽
志	志痣誌
忝	忝掭添舔
念	唸埝念捻稔諗谂鯰鲶
忽	唿忽惚鍃锪
思	崽思緦缌腮葸鍶锶鰓鳃
急	急
怱	偬葱
总	总聪
恙	恙
恩	嗯恩摁蒽
息	媳息熄螅
恶	恶
悉	悉蟋
患	患漶
悤	傯璁總聰蔥驄骢
悲	悲
惠	惠穗蕙蟪
惡	噁惡
惢	蕊
愁	愁
意	億噫意憶癔臆薏鐿镱
愛	噯嬡愛曖璦
感	感憾撼
慧	慧
慮	慮攄濾
慶	慶
憂	優憂
憲	憲
戈	划戈戤鳶鸢
戉	鉞钺
戊	戊茂
戋	戋栈残浅盏笺线贱溅践钱饯
戌	戌
戍	戍
戎	戎狨絨绒
戏	戏
成	城成晟盛誠诚鋮铖
我	俄哦娥峨我硪莪蛾鋨锇餓饿鵝鹅
戒	戒械誡诫
戔	戔棧殘淺盞箋綫賤濺踐錢餞
或	域惑或蜮閾阈馘
戚	嘁慼戚槭蹙
戛	嘎戛
戜	鐵
戟	戟
戠	幟熾織職識
截	截
戲	戲
戴	戴
戶	戶户戽护沪
戾	唳戾捩淚
所	所
扁	偏匾扁煸犏碥篇編编翩蝙褊諞谝蹁遍騙骗鯿鳊
扇	扇煽騸骟
扈	扈滬
手	手
才	才材豺財财
扫	扫
找	找
承	承
折	哲哳折浙蜇誓踅逝
抛	抛拋
报	报
拉	啦拉
拜	拜湃
拿	拿鎿镎
持	持
掃	埽掃
掌	掌撑
排	排
掰	掰
携	携
擾	擾
支	伎吱妓屐岐庋忮技支枝歧翅肢芰豉
攴	攴
收	收
